dataset,config,SB,SS,SG,pacescore,dpd,di,roc_auc,utility_retention,privacy_risk,k,epsilon
compas,baseline,1.0,0.25,0.4109577387263889,0.553638310091378,-0.40447729415700945,0.48839088198518804,0.6308700657667967,,,0,999
compas,configa,1.0,0.5,0.37868708419759567,0.6262042738714784,-0.43634550666832855,0.4896123398113455,0.6300651817318484,,,5,1.0
compas,configb,1.0,0.7,0.3959017052672921,0.6986036285361151,-0.4185423446989283,0.4781230444428993,0.6288880999324409,,,5,1.0
compas,configc,1.0,0.5,0.4109577387263889,0.6369633100913781,-0.40447729415700945,0.48839088198518804,0.6308700657667967,,,0,1.0
compas,default,1.0,0.75,0.37868708419759567,0.7095292738714783,-0.43634550666832855,0.4896123398113455,0.6300651817318484,,,5,1.0
adult,baseline,0.9754409672102619,0.25,0.7684880120503785,0.6646533775887764,-0.1726369970067701,0.28394881923328313,0.8822500181142972,,,0,999
adult,configa,0.9754409672102619,0.5,0.7299212388658355,0.7351202154090497,-0.21956139588666612,0.27072029269938813,0.8989652695050032,,,5,1.0
adult,configb,0.9754409672102619,0.7,0.7030670371499299,0.7928270245569667,-0.22383916587327757,0.12253978532969355,0.8538124060464148,,,5,1.0
adult,configc,0.9754409672102619,0.5,0.7684880120503785,0.7479783775887764,-0.1726369970067701,0.28394881923328313,0.8822500181142972,,,0,1.0
adult,default,0.9754409672102619,0.75,0.7299212388658355,0.8184452154090498,-0.21956139588666612,0.27072029269938813,0.8989652695050032,,,5,1.0
german,baseline,1.0,0.25,0.7977251257071147,0.682586556910752,-0.10592566794367886,0.8674263652780372,0.8073015873015872,,,0,999
german,configa,1.0,0.5,0.8775925925925926,0.7925393703703704,-0.017413801681675722,0.9792494219481829,0.7551851851851852,,,5,1.0
german,configb,1.0,0.7,0.7943143792723373,0.8314344140493972,-0.10637345141549337,0.8717071707170716,0.8013756613756614,,,5,1.0
german,configc,1.0,0.5,0.7977251257071147,0.765911556910752,-0.10592566794367886,0.8674263652780372,0.8073015873015872,,,0,1.0
german,default,1.0,0.75,0.8775925925925926,0.8758643703703703,-0.017413801681675722,0.9792494219481829,0.7551851851851852,,,5,1.0
nij,baseline,0.939603896522805,0.25,0.8118588360280203,0.6671687146427928,-0.03962041357064683,0.959355574464062,0.6237176720560407,,,0,999
nij,configa,0.939603896522805,0.5,0.8003048633961434,0.746641620167325,-0.0018742961756748056,0.9981251144230121,0.6006097267922869,,,5,1.0
nij,configb,0.939603896522805,0.7,0.8118588360280203,0.8171537146427927,-0.03962041357064683,0.959355574464062,0.6237176720560407,,,5,1.0
nij,configc,0.939603896522805,0.5,0.8118588360280203,0.7504937146427928,-0.03962041357064683,0.959355574464062,0.6237176720560407,,,0,1.0
nij,default,0.939603896522805,0.75,0.8003048633961434,0.8299666201673251,-0.0018742961756748056,0.9981251144230121,0.6006097267922869,,,5,1.0
