dataset,technique,SB,SS,SG,pacescore,dpd,di,roc_auc,utility_retention,info_loss,privacy_risk
compas,kanonymity,1.0,0.75,0.37868708419759567,0.7095292738714783,-0.43634550666832855,0.4896123398113455,0.6300651817318484,,,
compas,tcloseness,1.0,0.75,0.38517505370192623,0.7116923629042222,-0.43913450890195077,0.4395520765383779,0.648619125207754,,,
compas,numeric_noise,1.0,0.95,0.40722900171623594,0.7857051491721929,-0.40839087102432303,0.48250831866593,0.6312397454811179,,,
adult,kanonymity,0.9754409672102619,0.75,0.7299212388658355,0.8184452154090498,-0.21956139588666612,0.27072029269938813,0.8989652695050032,,,
adult,tcloseness,0.9754409672102619,0.75,0.7178548936196465,0.8144222959039704,-0.22391769357396227,0.256285328667647,0.8835451743872176,,,
adult,numeric_noise,0.9754409672102619,0.95,0.7723005165549002,0.8992344665905839,-0.16857651006807206,0.28314066592412074,0.8817540532459445,,,
german,kanonymity,1.0,0.75,0.8775925925925926,0.8758643703703703,-0.017413801681675722,0.9792494219481829,0.7551851851851852,,,
german,ldiversity,1.0,0.75,0.8775925925925926,0.8758643703703703,-0.017413801681675722,0.9792494219481829,0.7551851851851852,,,
german,tcloseness,1.0,0.75,0.8727195225916453,0.8742396888320545,-0.014663256606990638,0.9819365679479101,0.7454390451832907,,,
german,numeric_noise,1.0,0.95,0.910978835978836,0.9536553439153439,-0.0912980745310712,0.8878498961007212,0.821957671957672,,,
nij,kanonymity,0.939603896522805,0.75,0.8003048633961434,0.8299666201673251,-0.0018742961756748056,0.9981251144230121,0.6006097267922869,,,
nij,tcloseness,0.939603896522805,0.75,0.790224234321828,0.8266057384339485,0.0,1.0,0.5804484686436558,,,
nij,numeric_noise,0.939603896522805,0.95,0.8118588360280203,0.9004787146427928,-0.03962041357064683,0.959355574464062,0.6237176720560407,,,
