dataset,regulation,SB,SS,SG,pacescore,k,epsilon,privacy_risk,compliant
compas,GDPR,1.0,1.0,0.37868708419759567,0.7928542738714783,10,0.5,,False
compas,HIPAA,1.0,0.75,0.37868708419759567,0.7095292738714783,5,1.0,,False
compas,CCPA,1.0,0.5,0.37868708419759567,0.6262042738714784,5,1.0,,False
adult,GDPR,0.9754409672102619,1.0,0.6628905984143529,0.8794221998825255,10,0.5,,False
adult,HIPAA,0.9754409672102619,0.75,0.7299212388658355,0.8184452154090498,5,1.0,,False
adult,CCPA,0.9754409672102619,0.5,0.7299212388658355,0.7351202154090497,5,1.0,,False
german,GDPR,1.0,1.0,0.8786858974358975,0.9595538782051282,10,0.5,,False
german,HIPAA,1.0,0.75,0.8775925925925926,0.8758643703703703,5,1.0,,False
german,CCPA,1.0,0.5,0.8775925925925926,0.7925393703703704,5,1.0,,False
nij,GDPR,0.939603896522805,1.0,0.8003048633961434,0.913291620167325,10,0.5,,False
nij,HIPAA,0.939603896522805,0.75,0.8003048633961434,0.8299666201673251,5,1.0,,False
nij,CCPA,0.939603896522805,0.5,0.8003048633961434,0.746641620167325,5,1.0,,False
