dataset,config,run_id,score,readiness_status,publication_status,roc_auc,balanced_accuracy,statistical_parity_difference,equal_opportunity_difference,disparate_impact,evaluation_population,rows_input,rows_retained,rows_suppressed,bronze_seconds,silver_seconds,gold_seconds,total_seconds
adult,baseline,pilot-20260910T163849Z-seed42-adult-baseline,0.6646533775887764,AT RISK,withheld,0.8822500181142972,0.7472119173272653,-0.1726369970067701,-0.10036534183556256,0.28394881923328313,9769,32561,32561,0,2.372224807739258,6.563433647155762,24.362654447555542,33.2983455657959
adult,configa,pilot-20260910T163849Z-seed42-adult-configa,0.7351202154090497,ACCEPTABLE,eligible,0.8989652695050032,0.7665851663268617,-0.21956139588666612,-0.09102251407129447,0.27072029269938813,6285,32561,20947,11614,2.5828187465667725,5.933337450027466,21.152358293533325,29.66854739189148
adult,configb,pilot-20260910T163849Z-seed42-adult-configb,0.8009497987209393,ACCEPTABLE,eligible,0.8616103243238782,0.7158578174427381,-0.20337467521005184,-0.24224068854608516,0.16332397236691257,9769,32561,32561,0,2.3105289936065674,7.46620512008667,27.658180952072144,37.43496060371399
adult,configc,pilot-20260910T163849Z-seed42-adult-configc,0.7479783775887764,ACCEPTABLE,eligible,0.8822500181142972,0.7472119173272653,-0.1726369970067701,-0.10036534183556256,0.28394881923328313,9769,32561,32561,0,2.3742005825042725,7.205257177352905,30.17726469039917,39.756757974624634
adult,default,pilot-20260910T163849Z-seed42-adult-default,0.8184452154090498,ACCEPTABLE,eligible,0.8989652695050032,0.7665851663268617,-0.21956139588666612,-0.09102251407129447,0.27072029269938813,6285,32561,20947,11614,2.3439807891845703,6.798351764678955,21.715431690216064,30.857784032821655
compas,baseline,pilot-20260910T163849Z-seed42-compas-baseline,0.553638310091378,AT RISK,withheld,0.6308700657667967,0.5758575879992831,-0.40447729415700945,-0.3636903688893987,0.48839088198518804,2165,7214,7214,0,8.935996294021606,2.6089017391204834,1.0764124393463135,12.621335506439209
compas,configa,pilot-20260910T163849Z-seed42-compas-configa,0.6262042738714784,AT RISK,withheld,0.6300651817318484,0.589065009065009,-0.43634550666832855,-0.3817231410514993,0.4896123398113455,2163,7214,7208,6,3.176313638687134,2.411271810531616,0.9253261089324951,6.512928247451782
compas,configb,pilot-20260910T163849Z-seed42-compas-configb,0.6961512871860376,AT RISK,withheld,0.6302013677287706,0.5792217595720333,-0.426554531536738,-0.3900665344717393,0.47281464588241184,2165,7214,7214,0,3.022211790084839,2.4109747409820557,0.9075450897216797,6.340758323669434
compas,configc,pilot-20260910T163849Z-seed42-compas-configc,0.6369633100913781,AT RISK,withheld,0.6308700657667967,0.5758575879992831,-0.40447729415700945,-0.3636903688893987,0.48839088198518804,2165,7214,7214,0,2.9769062995910645,3.24090838432312,1.1786034107208252,7.3964433670043945
compas,default,pilot-20260910T163849Z-seed42-compas-default,0.7095292738714783,ACCEPTABLE,eligible,0.6300651817318484,0.589065009065009,-0.43634550666832855,-0.3817231410514993,0.4896123398113455,2163,7214,7208,6,3.1267662048339844,3.1271631717681885,1.1583435535430908,7.412290811538696
german,baseline,pilot-20260910T163849Z-seed42-german-baseline,0.682586556910752,AT RISK,withheld,0.8073015873015872,0.696031746031746,-0.10592566794367886,-0.04734848484848486,0.8674263652780372,300,1000,1000,0,1.9430198669433594,1.6129052639007568,2.3034591674804688,5.859401226043701
german,configa,pilot-20260910T163849Z-seed42-german-configa,0.7925393703703704,ACCEPTABLE,eligible,0.7551851851851852,0.6031746031746033,-0.017413801681675722,-0.0018939393939394478,0.9792494219481829,300,1000,1000,0,2.0633533000946045,1.8931870460510254,2.2209866046905518,6.177543878555298
german,configb,pilot-20260910T163849Z-seed42-german-configb,0.8655674867724867,EXCELLENT,eligible,0.7933862433862434,0.6849206349206349,-0.08612368774565904,-0.04734848484848486,0.8922099757145525,300,1000,1000,0,1.8596935272216797,1.755368709564209,2.2849841117858887,5.9000630378723145
german,configc,pilot-20260910T163849Z-seed42-german-configc,0.765911556910752,ACCEPTABLE,eligible,0.8073015873015872,0.696031746031746,-0.10592566794367886,-0.04734848484848486,0.8674263652780372,300,1000,1000,0,1.9639332294464111,2.5366079807281494,3.8257663249969482,8.326330423355103
german,default,pilot-20260910T163849Z-seed42-german-default,0.8758643703703703,EXCELLENT,eligible,0.7551851851851852,0.6031746031746033,-0.017413801681675722,-0.0018939393939394478,0.9792494219481829,300,1000,1000,0,2.0045723915100098,2.4609131813049316,3.760192394256592,8.22570276260376
nij,baseline,pilot-20260910T163849Z-seed42-nij-baseline,0.6671687146427928,AT RISK,withheld,0.6237176720560407,0.526441319850447,-0.03962041357064683,-0.029147935043863593,0.959355574464062,7751,25835,25835,0,3.700958490371704,4.09672212600708,2.0138766765594482,9.811575412750244
nij,configa,pilot-20260910T163849Z-seed42-nij-configa,0.746641620167325,ACCEPTABLE,eligible,0.6006097267922869,0.5005268003261134,-0.0018742961756748056,-0.0011478902075633401,0.9981251144230121,7750,25835,25831,4,3.795842409133911,4.094259262084961,1.678100824356079,9.568220376968384
nij,configb,pilot-20260910T163849Z-seed42-nij-configb,0.8171537146427927,ACCEPTABLE,eligible,0.6237176720560407,0.526441319850447,-0.03962041357064683,-0.029147935043863593,0.959355574464062,7751,25835,25835,0,3.6545393466949463,4.244648218154907,1.913682222366333,9.812891483306885
nij,configc,pilot-20260910T163849Z-seed42-nij-configc,0.7504937146427928,ACCEPTABLE,eligible,0.6237176720560407,0.526441319850447,-0.03962041357064683,-0.029147935043863593,0.959355574464062,7751,25835,25835,0,3.6360232830047607,5.213915586471558,3.019066095352173,11.869025468826294
nij,default,pilot-20260910T163849Z-seed42-nij-default,0.8299666201673251,ACCEPTABLE,eligible,0.6006097267922869,0.5005268003261134,-0.0018742961756748056,-0.0011478902075633401,0.9981251144230121,7750,25835,25831,4,3.8355536460876465,5.067495346069336,2.7238848209381104,11.626951456069946
